relative_time,PitchSensor,DecibelSource
0,0.0,26.220659259548334
39,,25.32843174718891
80,0.0,24.458944265932917
120,,24.325848327686007
161,0.0,24.4377548797354
200,,23.917769706703538
239,,26.235200245485704
280,0.0,25.559987495223233
319,,23.875250127712828
359,0.0,27.12505584688528
399,,27.120519246123234
439,0.0,24.188844468908353
479,,24.98552776998546
519,,26.5385707577944
559,0.0,
560,,25.241516946971338
599,,24.317921209222423
639,0.0,25.778349095243016
682,,26.033997056600366
720,0.0,24.23330409408536
759,,25.375792527466462
799,,23.40752035060757
840,0.0,
841,,24.37533961795983
879,,23.482673244064912
919,0.0,25.113360764382353
959,,23.097677272566102
999,0.0,23.788931062431487
1039,,24.839412906706706
1080,,23.540953664540567
1120,0.0,24.048792706804747
1159,,24.52227281431028
1201,0.0,23.98236330775547
1239,,24.51756855876276
1280,0.0,27.400743174962997
1319,,26.001279645215934
1359,,25.098613470139824
1399,0.0,24.255900367334885
1439,,25.22677061733578
1480,0.0,25.884546495222963
1519,,24.137472538492275
1559,0.0,24.897440982151004
1601,,24.85344723988254
1639,,23.588032323718714
1680,0.0,28.069083417804656
1719,,42.98230527166878
1763,67.861328125,24.27925290891516
1800,67.861328125,23.68678938770893
1839,67.861328125,
1840,0.0,22.89534350633772
1879,,24.366790865503937
1920,0.0,23.16600252208348
1961,,22.44239242429144
2000,,24.52243793587443
2039,0.0,23.136125810719342
2079,,24.53421488513742
2123,0.0,23.782897248741723
2159,,24.841359450377546
2200,0.0,25.97173254501859
2239,,25.08853282882228
2279,,24.16918688771936
2320,0.0,
2321,,25.986484696873035
2360,,23.22952581882668
2399,0.0,24.077877245293525
2439,,23.967744185370805
2479,0.0,22.84634039970051
2519,,25.489907432681115
2559,,24.620693256599292
2600,0.0,23.29628449232141
2639,,25.33836016352886
2680,0.0,23.33198148237581
2720,,24.493900560383125
2759,0.0,38.66481909691692
2801,,55.608206589032505
2839,,57.904941679410086
2892,79.60662841796875,60.92357225117843
2919,79.60662841796875,62.3894149652435
2959,79.60662841796875,
2967,,60.27845313633882
2999,,56.90445364026587
3052,168.2313232421875,
3053,168.2313232421875,66.38439675651907
3080,168.2313232421875,67.33816877014193
3119,168.2313232421875,67.01447671994414
3159,168.2313232421875,
3170,173.35508441657913,
3171,173.35508441657913,63.08553568585438
3199,173.35508441657913,52.826501480572134
3241,173.35508441657913,
3247,98.03206380208334,62.10312371641777
3279,98.03206380208334,60.74745557409248
3319,98.03206380208334,
3328,,53.161196696146085
3359,,51.43512534128662
3399,,36.046136736036715
3444,118.2763671875,43.462337624384695
3479,118.2763671875,52.419794473383654
3519,118.2763671875,
3527,,57.234099907011625
3559,,54.34027873223513
3612,290.3857421875,52.781748935446224
3641,290.3857421875,51.07820038681568
3679,290.3857421875,50.65948741614778
3719,290.3857421875,
3730,367.0762416294643,50.5669529650413
3760,367.0762416294643,54.72094419058783
3799,367.0762416294643,
3805,,52.51249775592963
3839,,55.66294862614094
3893,117.20547243148563,56.812270022420236
3919,117.20547243148563,56.87078818364238
3960,117.20547243148563,54.59398851264755
3999,117.20547243148563,
4024,118.74741641223656,45.645465039111656
4039,118.74741641223656,45.43009888651558
4079,118.74741641223656,
4090,,45.5426584812157
4119,,53.96974899871832
4167,132.93660481770831,48.99402299800062
4200,132.93660481770831,50.93730870118951
4239,132.93660481770831,
4240,,57.276064638947524
4279,132.93660481770831,
4296,83.7570296999008,63.2931943856549
4319,83.7570296999008,
4320,,62.47238632507062
4359,83.7570296999008,
4372,120.7047119140625,56.11036382363114
4399,120.7047119140625,56.05189638156331
4440,120.7047119140625,
4447,,57.928763719775816
4480,,55.53891965352218
4532,574.7808663504464,42.4702520193369
4559,574.7808663504464,50.608892700872026
4599,574.7808663504464,55.89175548693711
4640,574.7808663504464,
4649,,54.24633632649779
4679,,44.98026433563207
4732,36.06820242745536,
4733,,51.17871267543669
4759,36.06820242745536,48.26197612757045
4799,36.06820242745536,
4805,,48.644188173821725
4839,,55.267440737948085
4879,,50.7689941162485
4927,431.57261439732144,55.30139673865888
4959,431.57261439732144,56.05276316919913
4999,431.57261439732144,
5011,,54.373130190411274
5039,,52.76501666991269
5089,101.28152290688914,47.69367067676405
5119,101.28152290688914,49.03648461843712
5159,101.28152290688914,48.992965709062595
5199,101.28152290688914,
5207,57.73649088541667,40.67016971687814
5240,57.73649088541667,29.624871836084967
5279,57.73649088541667,
5280,,25.78006688043949
5319,,24.734356583997673
5360,0.0,25.296517603316406
5399,,26.042977020153195
5439,,26.051791794438216
5479,0.0,26.080424630971578
5520,,24.36648459803159
5560,0.0,24.325621000030612
5600,,24.19433080998872
5640,0.0,24.285828648919004
5680,,31.76892798385991
5719,,51.50298893999435
5766,120.7183837890625,
5767,120.7183837890625,53.89651114237787
5799,120.7183837890625,54.66891402664039
5839,120.7183837890625,
5844,133.062744140625,
5845,133.062744140625,54.44455640859377
5879,133.062744140625,50.67856638789298
5919,133.062744140625,
5925,135.869140625,50.513906833587455
5959,135.869140625,61.643245927733304
6000,135.869140625,63.12853192689658
6039,135.869140625,
6049,,63.808317447529234
6080,,63.33309847155285
6131,160.40351583637718,59.478069545596085
6159,160.40351583637718,61.243013781410276
6200,160.40351583637718,
6211,152.30690967793367,
6212,152.30690967793367,60.69320838730363
6239,152.30690967793367,61.467414332975096
6280,152.30690967793367,60.39873430672771
6319,152.30690967793367,
6327,135.12713623046875,55.685740417475685
6359,135.12713623046875,59.78264341182622
6399,135.12713623046875,
6409,134.57718331473214,56.480582596728496
6440,134.57718331473214,41.50957875878517
6479,134.57718331473214,
6486,126.23046875,47.16126378202499
6519,126.23046875,58.18203460892028
6560,126.23046875,60.04374041507027
6600,126.23046875,
6607,150.56966145833331,56.863642480159285
6639,150.56966145833331,48.62576912362803
6679,150.56966145833331,
6686,146.712646484375,51.515040868380815
6719,146.712646484375,57.72804506699753
6759,146.712646484375,
6767,134.91984049479169,59.054760961487304
6799,134.91984049479169,55.48286818121329
6840,134.91984049479169,52.74088595123543
6879,134.91984049479169,
6887,125.27801513671875,56.3069808712151
6919,125.27801513671875,56.3990647613545
