relative_time,PitchSensor,DecibelSource
0,0.0,24.805609441122392
39,,33.838981703712676
87,300.37109375,42.97820276833812
119,300.37109375,46.849278151162906
160,300.37109375,
170,,46.32677747604192
199,,46.55748431894295
239,,45.32257184688021
288,325.654296875,43.99325990960023
320,325.654296875,47.031152835485855
359,325.654296875,
366,200.73299153645834,
367,200.73299153645834,46.83959323277187
399,200.73299153645834,
400,,45.651893738658075
439,200.73299153645834,
449,204.20799967447914,39.76797741315995
479,204.20799967447914,49.209516868047906
520,204.20799967447914,46.35216271035321
560,204.20799967447914,
575,176.988525390625,37.89302130554596
601,176.988525390625,35.81449817657959
641,176.988525390625,
653,,27.333797141582224
679,,43.478969201199
727,363.642578125,41.789689253811055
759,363.642578125,44.25793372634459
800,363.642578125,36.99868339914215
839,363.642578125,
847,372.06298828125,41.04741964421491
879,372.06298828125,42.97725731816634
919,372.06298828125,
926,509.0771484375,43.210947872692884
959,509.0771484375,38.22859332429092
999,509.0771484375,
1008,447.197265625,35.83125551006844
1040,447.197265625,41.2302082401341
1079,447.197265625,42.46930330362513
1119,447.197265625,
1126,,38.906141958553356
1159,,40.0165221928372
1205,151.982421875,44.93194645237044
1240,151.982421875,44.4792325452109
1279,151.982421875,
1288,175.53426106770831,40.9686699504321
1319,175.53426106770831,39.21944862996209
1359,175.53426106770831,
1367,,38.249828075556394
1399,,37.56100824545817
1439,,42.769169419833595
1485,466.7919921875,40.16130533179732
1519,466.7919921875,39.05771443313902
1559,466.7919921875,
1566,,34.96588599583286
1599,,38.182452373656204
1647,298.41796875,41.82522063951843
1679,298.41796875,34.732116368123364
1719,298.41796875,
1720,,29.88757841892362
1759,298.41796875,
1768,,28.10641259319473
1800,,28.73331807501248
1848,426.6015625,41.27850727362527
1880,426.6015625,42.886473853746914
1920,426.6015625,
1930,,41.91797392235684
1959,,42.94050651469084
1999,,43.031005071215674
2049,124.51454671223958,43.349972934053596
2079,124.51454671223958,41.302582062807545
2119,124.51454671223958,
2128,,34.6199897277394
2160,,31.018981949451078
2208,1255.3173828125,39.29336079196184
2241,1255.3173828125,40.51759257213871
2279,1255.3173828125,39.17469099200085
2319,1255.3173828125,
2331,,37.18668582329212
2359,,41.53881220618985
2406,153.01798502604169,39.12285665757124
2439,153.01798502604169,37.8013681059026
2479,153.01798502604169,
2487,177.69327799479169,43.51231522757041
2519,177.69327799479169,42.77073951357689
2559,177.69327799479169,41.36729372713567
2599,177.69327799479169,
2609,179.0481201171875,41.06764236774018
2639,179.0481201171875,39.80186834633168
2679,179.0481201171875,
2688,153.20780436197916,41.64987601173146
2719,153.20780436197916,43.33345070023999
2759,153.20780436197916,
2768,145.92595757378473,42.802142747104995
2800,145.92595757378473,42.88890744394073
2839,145.92595757378473,39.624606102144156
2879,145.92595757378473,
2889,140.4736328125,40.180310488721815
2919,140.4736328125,
2920,,44.266264430998106
2960,140.4736328125,
2971,142.95987955729166,40.15270416021907
2999,142.95987955729166,32.09570177781697
3039,142.95987955729166,
3046,146.204833984375,38.97501636499863
3079,146.204833984375,40.847664678277596
3119,146.204833984375,41.95649273024294
3160,146.204833984375,
3167,167.62858072916666,
3168,167.62858072916666,39.45002958685153
3199,167.62858072916666,42.172467976047656
3239,167.62858072916666,
3245,147.0941162109375,44.43652064335449
3279,147.0941162109375,39.86354315793378
3319,147.0941162109375,
3327,139.6337890625,42.06492921452343
3359,139.6337890625,41.54185887047748
3400,139.6337890625,38.46485367170163
3439,139.6337890625,
3445,,42.709707705675626
3480,,41.29814233956384
3530,133.482373046875,41.49487299095923
3559,133.482373046875,37.157016454761546
3599,133.482373046875,
3609,149.873046875,
3610,149.873046875,38.77848330521679
3639,149.873046875,42.04147617579167
3679,149.873046875,45.04593628548301
3719,149.873046875,
3728,171.6015625,44.2385603643381
3759,171.6015625,44.90904595969173
3799,171.6015625,
3806,184.2864990234375,43.08348116203227
3839,184.2864990234375,41.66405409359761
3879,184.2864990234375,
3890,175.484619140625,40.17703216694038
3919,175.484619140625,
3920,,37.1827181121637
3959,175.484619140625,
3968,162.33479817708331,
3969,162.33479817708331,33.94839568306223
3999,162.33479817708331,38.59955636057299
4040,162.33479817708331,39.903102817098016
4081,162.33479817708331,
4093,149.57888454861111,40.20696622350166
4120,149.57888454861111,33.84872427649867
4159,149.57888454861111,
4168,152.607421875,33.75538475169969
4199,152.607421875,40.56292529756341
4239,152.607421875,
4250,136.73974609375,40.569173986496466
4279,136.73974609375,31.950465284897888
4319,136.73974609375,
4320,,41.430198304714956
4359,136.73974609375,
4369,132.81941731770831,37.86623597253678
4399,132.81941731770831,31.863110654985874
4439,132.81941731770831,
4448,129.1796875,33.00643414822899
4479,129.1796875,
4480,,36.41569263178861
4519,129.1796875,
4527,,41.579090104775496
4559,,34.742350177323125
4602,,29.478719899809818
4652,46.527901785714285,29.40493897309785
4679,46.527901785714285,40.853904825402196
4719,46.527901785714285,
4729,,40.49743207296121
4760,,40.05105211022133
4806,153.22102864583334,
4807,153.22102864583334,35.6494323441627
4839,153.22102864583334,35.14000274437998
4880,153.22102864583334,42.70629210743316
4920,153.22102864583334,
4939,149.990234375,42.815803828679265
4959,149.990234375,40.38440555197831
5002,149.990234375,
5018,130.87991768973214,
5019,130.87991768973214,39.79930665990989
5039,130.87991768973214,37.770491398595944
5079,130.87991768973214,
5091,120.99169158935547,39.30369543857533
5119,120.99169158935547,40.18133258269634
5159,120.99169158935547,39.880511470484265
5199,120.99169158935547,
5215,116.89708639477927,39.80133360502406
5240,116.89708639477927,42.0920235126973
5280,116.89708639477927,
5289,117.7490234375,41.079987236650695
5320,117.7490234375,33.602029047357945
5360,117.7490234375,
5366,,37.210557132386434
5399,,41.79530117975533
5440,,42.047135926661696
5486,117.2900390625,40.440997129094484
5519,117.2900390625,35.79790917726551
5560,117.2900390625,
