relative_time,DecibelSource,PitchSensor
0,32.84430733844519,62.5537109375
67,31.46438135285775,79.71505301339286
133,34.18632687354065,
200,34.6314613672635,
267,41.60528553851758,64.1845703125
333,58.517688033941596,
400,49.93493544768984,196.4818318684896
467,52.565662214721755,196.4818318684896
533,55.09256301599564,219.7259521484375
600,55.51854825436564,212.44816080729169
667,40.8361010516231,212.44816080729169
734,54.499933845209426,276.3387344092653
800,46.312915363253126,
867,35.818359240576484,
933,48.29187945524857,171.9833519345238
1000,45.93806465329934,
1067,51.31034508028235,204.4091796875
1133,53.64124933957569,204.4091796875
1200,44.38858659420562,199.97151692708331
1267,49.29919353278822,188.465576171875
1333,43.842996393083844,
1400,50.670820202844396,
1468,48.51447928869223,221.60888671875
1533,48.579473115560035,230.48331705729166
1600,51.41449773400467,230.48331705729166
1667,42.61358046194125,115.65753173828125
1733,44.29299990833607,
1800,49.75473167919027,377.1630859375
1868,36.383894076653355,377.1630859375
1933,47.166125987226394,
2000,39.882467233753786,127.4075927734375
2067,51.40140213983044,127.4075927734375
2133,53.37976113482519,165.56599934895831
2200,47.44926356233635,158.75090220617872
2267,50.87128065618832,166.47578855761054
2333,41.79034465932006,166.47578855761054
2429,44.73224124130912,171.89453125
2467,54.99396997988603,
2533,47.29334909058129,
2600,51.14103677595769,189.24763997395831
2667,52.86674236054952,
2733,53.429021140889255,229.95863172743054
2800,50.4660830808549,229.95863172743054
2867,50.49074526682213,236.89251302083335
2933,58.56994580405403,166.15283203125
3000,52.3985982044801,166.15283203125
3067,50.6724944944026,201.1589595249721
3133,42.5355606722012,194.13626873682412
3200,51.6878613153552,196.767578125
3267,53.1159282446847,196.767578125
3333,51.1541744899857,203.1591796875
3400,54.01307467705807,189.4140625
3467,52.755508992152336,189.4140625
3533,53.72669024539246,
3600,44.78017870464792,178.26789008246524
3667,50.281969801143866,
3734,54.51212111996366,
3800,55.53243245035472,200.56160481770834
3867,51.0831804154527,215.1235134548611
3933,46.01190532615333,215.1235134548611
4000,42.6585511354737,220.565101583168
4067,50.67301525349248,211.49698893229169
4133,44.862887609605664,208.7662353515625
4200,52.32881807330064,208.7662353515625
4267,40.990933597731,206.5966796875
4333,47.91648550584112,
4400,42.715395855938034,181.77278064546132
4467,43.24508805747058,181.77278064546132
4533,47.228312842649544,147.83530970982144
4600,40.422210023903816,197.4267578125
4667,34.06028944963615,197.4267578125
4733,52.14833255370179,105.22216796875
4800,45.82108836392919,
4867,35.33772058384718,187.071533203125
4933,50.9083978004538,187.071533203125
5000,48.50682986334541,135.6229248046875
5067,47.86105176895488,159.969970703125
5133,44.950584330166876,159.969970703125
5200,42.20552619866346,155.58336239769343
5268,41.26033948051813,154.49137369791666
5333,43.262539108422914,
5400,49.515997651279584,
5467,34.50249108319361,481.99055989583337
5534,34.85579476984679,
5600,31.96728722623287,
