relative_time,DecibelSource,PitchSensor
0,29.72665592266111,0.0
70,27.867514221455608,0.0
134,47.577603188872786,0.0
200,46.14981536872523,
270,52.45055925000128,221.024169921875
334,46.17922499425276,221.024169921875
400,49.93356859786623,
469,48.03873456325054,338.312744140625
534,38.90085526716325,298.447265625
600,46.21861469109227,298.447265625
669,40.50070264367438,288.9179597077546
734,32.80805928393667,
800,41.85910285040714,
869,44.00417095375167,473.33984375
934,35.49371152333177,460.4638671875
1000,37.5495958772171,
1070,39.548693710664786,
1134,37.00617195682057,212.64811197916666
1200,38.93040111957118,
1270,44.33673846637062,
1334,45.69420731293911,495.263671875
1400,40.87923320925297,272.364501953125
1470,41.23524980942732,
1534,48.124253364389716,
1600,36.34275694625944,489.4970703125
1670,35.424519473759766,
1759,44.493395261749676,439.0087890625
1801,34.53165392525857,439.0087890625
1872,39.503161639246,397.5048828125
1934,41.22412495411281,
2000,45.80103485237926,
2070,46.24622383339046,196.3603515625
2134,45.381965783494536,185.9183803013393
2200,44.25974160919375,185.9183803013393
2270,45.706946829462055,183.8525390625
2334,32.64581729238078,189.57616896856396
2400,34.39016728387513,113.60637749565971
2470,46.51936711201844,113.60637749565971
2534,45.495059674010975,
2600,42.57870485823215,470.21484375
2670,50.449628737465126,506.0302734375
2734,48.49038394402184,506.0302734375
2800,48.7544327447554,254.99957275390625
2870,46.775795803569494,
2934,47.635627536990704,
3000,41.54241330167298,220.770263671875
3070,45.40567207842695,
3134,39.688563746146926,
3200,36.531159931655665,873.9697265625
3270,46.591457610098566,
3334,47.170960558366,220.806884765625
3402,44.241953665669,220.806884765625
3470,37.61627184561583,210.66365559895831
3534,41.75453826250483,196.27034505208331
3600,44.63594402187,197.03891330295139
3670,45.04307716556398,197.03891330295139
3734,42.32208078396316,196.09700520833331
3801,45.663667736318985,
3870,44.53119497764003,
3934,45.41491877073948,190.54484049479166
4001,43.9072320444882,187.49200439453125
4071,47.38899418444579,218.45926920572919
4134,44.21060719191879,218.45926920572919
4200,32.50420002308894,187.1700439453125
4270,36.688516480825186,
4334,48.235589930939824,
4400,50.12993205388284,247.5537109375
4470,35.55819683061191,220.5899701799665
4534,33.74198257929083,151.48111979166669
4600,46.08611600414611,151.48111979166669
4670,47.830670429657104,197.47762044270831
4734,33.64550995353972,197.77311197916666
4800,41.58211669214101,197.77311197916666
4871,45.5166952957558,196.025390625
4934,39.733587998863975,
5001,31.344958558346736,186.1572265625
5070,49.37051251261018,186.1572265625
5134,47.853511932305814,249.66291155133928
5200,31.166077439882486,249.54334077380952
5270,46.75879115620618,217.71484375
5334,47.499062908181024,217.71484375
5400,44.71497072049918,191.2615966796875
5470,47.3714491541397,174.13828822544644
5534,46.185501229487905,174.13828822544644
5600,42.892320959227625,164.46658761160714
5670,45.55759293089335,166.29296875
5734,36.89131197234498,166.29296875
5801,43.53088764833949,176.73982747395831
5870,41.977490676226125,182.1533203125
5934,30.0987563371216,189.03564453125
6000,33.08350948586726,189.03564453125
