relative_time,PitchSensor,DecibelSource
0,0.0,23.815877705404095
39,,39.778011639069
90,222.58282946301745,49.71084687051933
120,222.58282946301745,47.51125263673572
160,222.58282946301745,49.5841911647858
200,222.58282946301745,
211,222.08619617280505,50.31616309259175
240,222.08619617280505,51.00238070021828
280,222.08619617280505,
287,237.451171875,50.23023453157195
319,237.451171875,
320,,52.02315923689752
360,237.451171875,
369,269.6304524739583,
370,269.6304524739583,51.98653178922256
400,269.6304524739583,48.03076761852356
440,269.6304524739583,41.48623794505454
480,269.6304524739583,
488,275.19119698660717,50.81021241642724
520,275.19119698660717,49.77070223631955
560,275.19119698660717,
575,245.05497233072916,41.18450319861643
600,245.05497233072916,36.87733455133049
640,245.05497233072916,
648,254.322509765625,38.273395596662205
680,254.322509765625,41.870780730963276
720,254.322509765625,43.531122517303714
760,254.322509765625,
765,230.8642578125,45.42901473826009
799,230.8642578125,
800,,42.59815022206559
840,230.8642578125,
848,,47.82577851198812
880,,45.89401720132138
929,517.31201171875,30.580438610226377
960,517.31201171875,45.93330945717106
1000,517.31201171875,42.7514218244677
1040,517.31201171875,
1052,,39.504713802036925
1080,,41.745681503196465
1127,210.33203125,44.523189420401714
1159,210.33203125,
1160,,42.086010362891244
1200,210.33203125,
1205,214.39453125,37.22477688829687
1240,214.39453125,40.99273753036043
1280,214.39453125,48.27298796625585
1320,214.39453125,
1330,268.2023568704825,48.418107550702416
1359,268.2023568704825,
1360,,42.84241919164006
1400,268.2023568704825,
1408,277.4720232928241,36.12493425325433
1440,277.4720232928241,37.42227551737116
1480,277.4720232928241,
1486,,36.84853246034891
1521,,38.30500762858071
1559,,42.657948945454436
1605,271.5087890625,47.29977719630406
1640,271.5087890625,49.27975880502026
1680,271.5087890625,
1685,,43.582291706389796
1721,,46.09285916171317
1766,196.005859375,47.74482566892742
1800,196.005859375,
1801,,45.85989498048961
1839,196.005859375,
1846,205.1123046875,38.33583037103566
1880,205.1123046875,44.93147848448249
