relative_time,DecibelSource,PitchSensor
0,40.4563587107822,61.62109375
65,40.14394516273535,61.62109375
132,63.294824924315456,
200,74.17447112934735,117.60992140997024
265,72.91881131142571,124.81938244047619
332,66.62550737138959,124.81938244047619
400,73.96007936283998,127.24818638392857
465,67.63661700905706,146.32486979166666
532,45.99599269401174,146.32486979166666
600,62.0361346288702,171.18125770205538
665,67.05359535557024,177.4237060546875
732,52.10711695394906,174.42800262827936
800,51.363177862823875,174.42800262827936
865,53.423753006579425,118.84928385416666
932,54.19769110382292,118.4326171875
1000,58.207477617471355,139.8095703125
1065,60.29181601051681,139.8095703125
1132,64.38224857633789,140.1220703125
1201,73.12802020133518,
1265,59.319777973465754,
1332,66.31399525546034,506.0302734375
1400,63.16471697560835,
1465,62.97072753226851,1698.623046875
1532,69.43978943994256,1698.623046875
1600,60.0173587562474,
1665,62.83539572863988,722.8466796875
1732,60.72679199293436,722.8466796875
1800,64.28516416533972,580.1066080729167
1865,64.53586938450323,
1932,42.251024255743445,246.8505859375
2000,65.94580593427618,246.8505859375
2065,62.299210606537244,157.10408528645831
2132,56.462792040859696,129.19921875
2200,62.37022422800027,129.19921875
2265,60.5348564380941,148.212890625
2332,62.440934657326665,122.9638671875
2400,65.3667911927034,
2465,69.30942565070242,
2534,67.43583604191345,113.78655004753637
2600,58.92025555515104,92.40566539115646
2665,56.98762361943182,92.40566539115646
2732,51.87117260038893,94.13730875651042
2800,53.139620801624446,98.08174981011285
2865,43.900514964589874,
2932,46.8493508264089,
3000,45.6588322167194,36.1474609375
3065,45.58384528375029,
3132,65.35886407662511,
3200,64.99980269842712,137.14640299479169
3265,73.21739817210899,148.701171875
3332,54.785693812618774,
3400,75.71040389044317,
3465,68.77345310459975,256.44938151041663
3532,61.024289030301794,
3600,67.42568505741951,99.32547723679316
3665,67.26252403407716,99.32547723679316
3732,56.421042724845606,100.36612955729167
3801,72.41769323065662,
3865,70.07396616913461,
3932,56.46342940348839,124.039306640625
4000,65.94559936979212,135.2001953125
4065,63.88050021463778,135.2001953125
4132,63.75622834080257,161.85926649305554
4200,72.08362042079162,149.931640625
4265,64.75166590801989,88.86197916666666
4332,63.90276280755688,88.86197916666666
4400,66.9149321327592,117.3562282986111
4465,65.74211665136505,113.72566731770833
4532,65.252442774031,102.708740234375
4600,63.8546595415525,102.708740234375
4665,66.90640959617532,93.02482096354167
4732,62.350292264304755,
4800,55.30947219630198,
4865,49.780663340836206,80.63232421875
4932,55.34285081674324,107.275390625
5000,55.355725869755105,118.0029296875
5065,67.26061405408838,118.0029296875
5132,63.92855696680261,156.668701171875
5200,57.99376394502947,135.5126953125
5265,66.77786472658505,135.5126953125
5332,65.69247465862108,110.09592692057291
5400,57.065462490733196,108.697265625
5465,58.16134536623249,118.4326171875
5532,69.15950717776863,118.4326171875
5600,56.3369463379862,132.58392333984375
5665,45.65611724902059,130.32728407118054
5732,67.32192892392666,130.32728407118054
5800,57.99778070257514,146.03987630208334
5865,69.18860210269123,139.9072265625
5932,67.38358184053394,
6000,67.44228577561928,
6065,62.19546805393186,124.98538411458335
6132,62.46132082551971,
6200,61.10151828518272,
6265,58.122413509131974,90.62406994047619
6332,59.31966622674638,91.6802978515625
6400,64.22332568103387,93.5009765625
6465,54.73650438395059,93.5009765625
6532,41.46128035678238,89.45244683159723
