relative_time,DecibelSource,PitchSensor
0,23.979555189122816,0.0
39,18.435615844893057,
79,16.878801546887512,
120,19.219592170347926,0.0
160,16.401185895596182,
199,17.05206766607077,
203,,0.0
259,32.73057106336427,
300,48.15191685221932,
306,,133.10546875
339,59.476848349128716,133.10546875
379,63.078574842745184,
380,,133.10546875
392,,125.17826334635416
419,65.07743413714658,
420,,125.17826334635416
460,66.08416432010915,125.17826334635416
500,68.79292948010122,125.17826334635416
515,,127.82645670572917
539,60.18051043382154,
540,,127.82645670572917
579,64.37511586293171,
580,,127.82645670572917
590,,135.67108154296875
621,67.80865506312496,135.67108154296875
660,65.67161617678858,135.67108154296875
673,,138.63390415239786
700,50.01494341317053,138.63390415239786
739,57.92051769466232,138.63390415239786
779,62.29540426782037,
780,,138.63390415239786
791,,125.65521240234375
819,65.7324324493469,
820,,125.65521240234375
859,53.549960447774495,
860,,125.65521240234375
873,,117.18346586681547
900,58.55154176310784,117.18346586681547
939,51.31723051029493,117.18346586681547
979,67.33608694711886,
1021,59.0621030952211,
1029,,53.7001953125
1059,59.67629607946972,53.7001953125
1099,55.76395334738625,
1100,,53.7001953125
1139,60.973579678012165,
1140,,53.7001953125
1179,59.961291306807254,
1220,64.84189861815457,
1227,,135.41463216145831
1259,67.18254127241282,135.41463216145831
1300,54.86049128019094,
1301,,135.41463216145831
1326,,118.7958984375
1339,62.46586211542278,118.7958984375
1379,63.98053275932134,
1380,,118.7958984375
1421,58.85048809271916,118.7958984375
1429,,125.572509765625
1459,47.03035220687073,125.572509765625
1519,60.02226651757398,
1521,,125.572509765625
1559,67.19185637417702,
1599,68.31014471905438,
1610,,144.87516276041666
1639,67.7447750144062,
1640,,144.87516276041666
1679,67.49921025871568,144.87516276041666
1689,,152.31521606445312
1719,50.90105954956109,152.31521606445312
1759,49.416582136970675,
1760,,152.31521606445312
1799,51.52633669351261,152.31521606445312
1839,60.33526465959444,
1879,59.48546163532404,
1886,,293.1201171875
