relative_time,PitchSensor,DecibelSource
0,0.0,26.717928835708857
40,,37.23692870178445
87,125.6378173828125,42.7245867900902
120,125.6378173828125,46.30573811152283
159,125.6378173828125,
173,134.82554242400082,47.64872735213926
199,134.82554242400082,
200,,47.310322738351914
239,134.82554242400082,
240,,44.8866491209671
281,134.82554242400082,
294,131.83492024739581,44.739840895409664
323,131.83492024739581,43.73661052499698
360,131.83492024739581,
371,132.92670549665178,46.39915634126547
400,132.92670549665178,46.90233420232079
440,132.92670549665178,
457,147.6437726702009,47.38554994500991
480,147.6437726702009,47.5877856435313
520,147.6437726702009,46.47960598220919
559,147.6437726702009,
572,149.37070402922458,41.33789849899996
600,149.37070402922458,33.78822103158583
640,149.37070402922458,
652,79.66259765625,43.0644251034498
679,79.66259765625,44.230752200778284
720,79.66259765625,
733,,37.91857268506752
759,,35.227227257714524
811,278.369140625,
812,278.369140625,32.06749104190532
839,278.369140625,
840,,37.56085887370672
880,278.369140625,43.522722455271214
919,278.369140625,
926,289.7607421875,
927,289.7607421875,45.28016669648635
960,289.7607421875,45.68435097630994
1000,289.7607421875,
1013,,44.02369267455774
1042,,37.6369032815639
1087,384.47265625,38.94701707362294
1120,384.47265625,36.47951571765327
1159,384.47265625,
1160,,41.00814101433695
1200,384.47265625,
1208,235.869140625,42.49704939840464
1239,235.869140625,
1240,,38.176714056674236
1280,235.869140625,
1296,,40.00810910294439
1319,,39.99727988384718
1366,124.48018391927084,44.38833536927785
1399,124.48018391927084,
1400,,42.83702334455009
1440,124.48018391927084,37.01026499981856
1480,124.48018391927084,
1488,,40.78824994088171
1519,,47.67249596642583
1570,141.30970110212053,49.011986632621046
1600,141.30970110212053,46.540844232303144
1639,141.30970110212053,
1655,142.47742910233754,37.673487840781654
1679,142.47742910233754,
1680,,36.06130340550953
1720,142.47742910233754,35.885488222488945
1762,142.47742910233754,
1770,,35.60807536763953
1799,,37.53714648870002
1844,284.931640625,
1845,284.931640625,43.36520019978196
1880,284.931640625,44.52534591421467
1920,284.931640625,
1928,,43.08431833178905
1959,,30.760250270471992
2001,,42.78548352334199
2046,450.556640625,43.92458842773883
2080,450.556640625,35.9163087343998
2119,450.556640625,
2127,,35.71047882991473
2160,,30.878449742574027
2210,123.72029622395834,42.90698436204955
2240,123.72029622395834,42.99803932879029
2280,123.72029622395834,34.28244007995943
2320,123.72029622395834,
2327,,37.76100752454345
2359,,36.459114389719666
2406,594.511962890625,
2407,594.511962890625,33.37107762431834
2439,594.511962890625,39.34600697544564
2480,594.511962890625,
2489,,42.791957559625814
2520,,42.36719244726805
2560,,41.65779474213398
2615,96.0235472399779,40.70196661917027
2640,96.0235472399779,39.700390715399585
2680,96.0235472399779,
2703,95.96544314653448,41.825653057204434
2719,95.96544314653448,
2720,,37.22369318240224
2760,95.96544314653448,
2773,94.41170247395833,30.339557202310058
2799,94.41170247395833,26.910504027851154
2839,94.41170247395833,
2840,,25.81977636060674
2880,94.41170247395833,
2881,0.0,26.655559982075992
2919,,28.270812130079264
2959,0.0,
2960,,27.069523091044868
2999,,24.35824330291983
3039,0.0,
3040,,25.525895909276628
3079,,23.360272526867888
3120,,41.87884430968562
3168,151.17838541666669,41.863338136277946
