relative_time,PitchSensor,DecibelSource
0,0.0,37.36778867935811
40,,44.792525614667376
80,,45.90425927509443
145,147.49348958333334,
146,147.49348958333334,45.20524289150755
160,147.49348958333334,42.39613265518109
200,147.49348958333334,
210,161.29069010416666,42.64222832415364
240,161.29069010416666,44.67491390885815
280,161.29069010416666,
294,197.682861328125,47.248808320431024
320,197.682861328125,47.56063061856661
360,197.682861328125,45.60537371380785
400,197.682861328125,
412,204.04204450334817,39.77633901956778
439,204.04204450334817,
440,,36.63554089249098
480,204.04204450334817,
490,189.74629720052084,48.111955916252825
520,189.74629720052084,48.84248780046513
560,189.74629720052084,
572,190.73699951171875,44.43452443704494
600,190.73699951171875,36.36929180812788
639,190.73699951171875,
640,,35.567901106587726
679,190.73699951171875,
690,,27.842185021982672
721,,42.2894611982996
767,330.4833984375,42.63066164139933
799,330.4833984375,
800,,42.91063675895682
839,330.4833984375,
849,359.0478515625,39.940962909703494
880,359.0478515625,36.767549217273654
920,359.0478515625,44.73895657865821
960,359.0478515625,
968,527.5634765625,38.234916401697966
999,527.5634765625,
1000,,39.10032126257333
1040,527.5634765625,
1047,,43.57906068876037
1079,,37.02141156600981
1124,325.732421875,
1125,325.732421875,37.38517522474723
1159,325.732421875,44.89397605065498
1199,325.732421875,
1211,192.4967084612165,
1212,192.4967084612165,46.64540585284538
1242,192.4967084612165,42.874839412412314
1280,192.4967084612165,37.93946665027092
1319,192.4967084612165,
1328,191.47939724392361,40.68795480360886
1360,191.47939724392361,41.19563771682056
1400,191.47939724392361,
1410,,39.32496485690487
1441,,45.441779405723636
1486,341.40625,45.27452484694191
1520,341.40625,38.92899746261692
1560,341.40625,32.85962008797096
1599,341.40625,
1606,326.357421875,34.92542634642521
1640,326.357421875,40.49803514754885
1679,326.357421875,
1685,,42.20634441329704
1720,,33.26034511406442
1768,150.732421875,35.71284872779471
1800,150.732421875,36.25642651695239
1840,150.732421875,28.68394503141774
1880,150.732421875,
1893,,45.193048897158114
1919,,46.19533891513609
1968,110.5245361328125,48.1260105308344
1999,110.5245361328125,
2000,,44.529191413832585
2040,110.5245361328125,
2050,130.27447509765625,
2051,130.27447509765625,41.103539635684704
2080,130.27447509765625,40.975857062582506
2119,130.27447509765625,
2120,,35.83705531783629
2160,130.27447509765625,
2170,126.75323486328125,
2171,126.75323486328125,27.910860671617424
2200,126.75323486328125,25.817700167371505
2240,126.75323486328125,22.436453828702074
2280,,22.47132317069246
2320,0.0,23.321463586131316
2360,,40.363403306878425
2400,,44.30303241531213
2453,283.134765625,44.32840821571618
2480,283.134765625,46.518884433052435
2520,283.134765625,
2531,325.966796875,43.442333629115
2560,325.966796875,36.64337477731912
2600,325.966796875,
2608,176.556396484375,47.65166225966418
2639,176.556396484375,
2640,,49.25801157841335
2680,176.556396484375,46.198432809811365
2719,176.556396484375,
2732,172.2319074358259,41.227430736827635
2759,172.2319074358259,
2760,,44.27603801143843
2800,172.2319074358259,
2811,159.03397972470236,42.75087170989545
2839,159.03397972470236,
2840,,44.72806241597623
2882,159.03397972470236,
2894,155.2632039388021,
2895,155.2632039388021,43.753183217241904
2919,155.2632039388021,42.136438345837355
2960,155.2632039388021,43.11406245556186
3000,155.2632039388021,
3010,157.6123046875,40.02700119137303
3040,157.6123046875,34.73172052620538
3080,157.6123046875,
3089,151.982421875,34.22792073915541
3121,151.982421875,41.59181799770404
3160,151.982421875,
3166,189.501953125,42.57020399444373
3199,189.501953125,42.42981194171282
3240,189.501953125,41.825779831191376
3279,189.501953125,
3286,183.1103515625,40.87189292690229
3319,183.1103515625,
3320,,42.79836909426245
3359,183.1103515625,
3367,169.58577473958331,41.37533304169779
3400,169.58577473958331,42.628749365307506
3439,169.58577473958331,
3452,,44.549216326581416
3480,,42.963324085814364
3520,,44.42251997781764
3568,147.29817708333334,44.62385857587175
3601,147.29817708333334,43.28135578581379
3639,147.29817708333334,
3647,144.29090711805554,41.095554567945555
3679,144.29090711805554,39.463215149448494
3719,144.29090711805554,
3726,141.9970703125,39.79718074119096
3760,141.9970703125,41.723925027998106
3800,141.9970703125,
3810,134.42051478794644,41.167313339524256
3840,134.42051478794644,40.87665986779563
3879,134.42051478794644,
3880,,36.69995584193122
3920,134.42051478794644,
3929,102.31844075520834,36.5584725686939
3960,102.31844075520834,34.687754547906444
4000,102.31844075520834,
4011,124.58612060546875,29.73651103338101
4039,124.58612060546875,
4040,,24.94274520408173
4080,124.58612060546875,24.161431087894005
4120,,22.12130204598257
4160,,22.786045603879003
4200,0.0,21.658493882905432
4240,,23.81461974790696
4280,0.0,23.961123284010988
4321,,23.953273838073997
4360,0.0,25.491145240146636
4400,,25.657327323012158
4440,,27.112695617481602
4480,0.0,24.46246139520632
4520,,25.024789889370563
4560,0.0,23.25532650274855
4600,,26.345697990203377
4640,0.0,39.32542010422413
4680,,47.1910017461185
4719,,41.29599896159765
4767,264.96425083705356,33.02375600525248
4799,264.96425083705356,
4800,,36.99511254791558
4839,264.96425083705356,
4847,173.5894097222222,47.017395315871624
4879,173.5894097222222,
4880,,42.54542720165185
4919,173.5894097222222,
4928,,42.022760926086974
4960,,43.75140175679885
5000,,35.23474678684068
5050,441.4306640625,39.536424371323875
5079,441.4306640625,43.41717185314599
5120,441.4306640625,
5129,333.9521484375,41.03565618401477
