relative_time,PitchSensor,DecibelSource
0,0.0,
1,,26.33341329746862
41,,21.786947869603885
81,,23.487594853666934
121,0.0,23.98015831248052
161,,24.16347045026049
201,0.0,26.577147747691306
241,,25.904151672005447
281,0.0,25.37615665913162
321,,25.980873102891337
361,,26.089369787676496
402,0.0,25.555701263876355
441,,24.111050558301855
481,0.0,25.355797027349528
521,,24.492456944015224
561,0.0,23.418045061915002
601,,23.529576254277146
641,,24.3245478528373
681,0.0,21.692774696954324
721,,27.998810684772447
761,0.0,39.429700035992155
801,,40.47154776481176
853,107.04364013671875,41.438762606239656
880,107.04364013671875,
881,,43.33842954260811
921,107.04364013671875,45.20699784675378
961,107.04364013671875,
969,115.66996256510416,45.109865299696814
1001,115.66996256510416,48.35486822147401
1041,115.66996256510416,
1054,137.93097373004605,48.67713009150659
1081,137.93097373004605,47.01298786409839
1121,137.93097373004605,
1134,146.036860148112,39.63019087760554
1161,146.036860148112,39.53277954228041
1201,146.036860148112,46.03309785404211
1241,146.036860148112,
1249,,45.37042432717763
1281,,36.57887359739817
1337,519.296875,28.843283947488594
1361,519.296875,36.98730731791862
1401,519.296875,
1409,,40.10898067061178
1441,,33.56967332268923
1487,101.552734375,31.689033379269233
1521,101.552734375,39.25023282209881
1561,101.552734375,43.74874294212322
1601,101.552734375,
1608,119.2138671875,42.8568596384312
1641,119.2138671875,35.67789778087898
1680,119.2138671875,
1686,,37.48828681995089
1721,,34.36158137883906
1774,463.5107421875,45.12875165854922
1801,463.5107421875,41.53302313248445
1841,463.5107421875,33.16431693128988
1881,463.5107421875,
1889,,39.35630833129694
1921,,38.30764935897557
1968,108.779296875,36.048855116129246
2001,108.779296875,36.01968518883728
2041,108.779296875,
2051,108.564453125,41.323886704987984
2081,108.564453125,41.52701276340798
2121,108.564453125,41.38890240920595
2161,108.564453125,
2185,96.82301839192708,36.127974274596596
2201,96.82301839192708,34.83686007784687
2241,96.82301839192708,
2250,63.9643787202381,37.85600246479014
2281,63.9643787202381,38.43664417921304
2321,63.9643787202381,
2335,,31.636122796217315
2361,,35.85829742825038
2401,,37.63779787818085
2447,301.46484375,33.56754514289077
2481,301.46484375,23.79954708996607
2521,301.46484375,33.80554553148158
2560,,34.89278550629581
2609,60.40020751953125,38.059001405924576
2641,60.40020751953125,40.465160453744474
2681,60.40020751953125,34.772296506792316
2721,60.40020751953125,
2729,,39.89147160280401
2760,,32.77172202958016
2808,107.080078125,
2809,107.080078125,30.541514581834704
2841,107.080078125,35.67703584824371
2881,107.080078125,
2896,,33.927406089700575
2921,,34.57999232729362
2961,,40.74290442454192
3012,97.04264322916666,40.49196457767748
3041,97.04264322916666,39.78933630230291
3081,97.04264322916666,
3094,94.61966507523148,
3095,94.61966507523148,36.84150362769464
3121,94.61966507523148,36.65057383650522
3161,94.61966507523148,
3170,94.1961669921875,37.37691201861101
3201,94.1961669921875,35.65090164111914
3241,94.1961669921875,26.672797851012074
3281,94.1961669921875,
3293,,25.15751477737304
3321,,27.97519163868744
3361,0.0,37.52530119985989
3401,,41.68296202031166
3453,102.95658947172619,42.44126050583926
3481,102.95658947172619,42.05687651266554
3521,102.95658947172619,41.05309414029424
3561,102.95658947172619,
3568,111.01654052734375,34.2940544986788
3601,111.01654052734375,44.190803184747935
3640,111.01654052734375,
3650,128.35416666666669,46.20616903420465
3681,128.35416666666669,
3682,,45.65626384119635
3721,128.35416666666669,
3735,133.34937470231048,43.057144825473124
3761,133.34937470231048,40.71262981718347
3801,133.34937470231048,42.212798058639194
3841,133.34937470231048,
3851,132.50947134835383,41.75753917940189
3881,132.50947134835383,42.05705911263926
3921,132.50947134835383,
3934,130.0917886146029,42.39938642677497
3961,130.0917886146029,40.718496664440906
4001,130.0917886146029,
4019,127.47725185377777,33.453073685521424
4041,127.47725185377777,25.60366223935096
4081,127.47725185377777,25.085182677186488
4121,,22.150419627711425
4161,,23.73437465202271
4201,0.0,23.94790072152062
4241,,22.500920746657464
4282,0.0,24.2734403400147
4321,,23.424484190130368
4361,0.0,25.56161597553178
4401,,28.241926383167137
4443,,27.981571850105148
4481,0.0,26.324504054535936
4521,,33.44955157873826
4572,111.04363335503473,44.05254260678166
4600,111.04363335503473,
4601,,41.61677779467485
4641,111.04363335503473,
4652,108.02018229166667,43.51370573216912
4681,108.02018229166667,45.16417654735497
4721,108.02018229166667,35.53275977270329
4761,108.02018229166667,
4769,68.26678466796875,31.114015974543875
4801,68.26678466796875,33.07326333843893
4841,68.26678466796875,
4853,,42.27462088446793
4880,,46.247515902328104
4927,126.59067789713542,45.310195425918884
4960,126.59067789713542,43.576070739244315
5001,126.59067789713542,36.387844252571874
5041,126.59067789713542,
5053,123.23486328125,42.82203090489244
5081,123.23486328125,43.88240174809994
5122,123.23486328125,
5133,,42.0064457570568
5160,,41.02636237573015
5213,101.61810980902777,39.347403456438606
5242,101.61810980902777,41.216766565453426
5281,101.61810980902777,42.34736138589479
5321,101.61810980902777,
5337,102.77041965060762,40.59425808170496
5361,102.77041965060762,37.51270591711314
5401,102.77041965060762,
5408,99.15568033854167,39.2746557270834
5441,99.15568033854167,41.978805868532866
5481,99.15568033854167,
5491,95.21240234375,40.9761954887791
5521,95.21240234375,38.92923689760035
5561,95.21240234375,
5562,,37.52770712382821
5601,95.21240234375,
5611,91.85891158492478,37.341551541163845
5641,91.85891158492478,37.25643183521332
5681,91.85891158492478,
5692,90.9614969889323,36.60034003899824
5721,90.9614969889323,34.404444457937615
5761,90.9614969889323,
5771,92.09698486328125,34.79615620584847
5801,92.09698486328125,43.05458659818021
5841,92.09698486328125,43.20287244375514
5881,92.09698486328125,
5888,112.77571614583336,39.28739900544669
5922,112.77571614583336,31.552554558743484
5961,112.77571614583336,
5968,,38.55640212234623
6001,,37.41411035314701
6048,101.2255859375,
6049,101.2255859375,29.85570554065026
6081,101.2255859375,40.04783104235402
6121,101.2255859375,41.74300893481511
6161,101.2255859375,
6172,113.46923149956598,36.08307795779566
6201,113.46923149956598,37.70130885697371
6241,113.46923149956598,
6249,101.68650309244792,40.09975401308669
6281,101.68650309244792,32.47784194694811
6321,101.68650309244792,
6329,,41.06464136174545
6361,,40.2304775144561
6401,,29.097660962725527
6454,3849.130859375,41.21784584223317
6481,3849.130859375,27.970750941213577
6521,3849.130859375,
6531,,22.032111747755685
6561,,22.919607837926492
6610,115.2000732421875,
6611,115.2000732421875,40.795754978542426
6641,115.2000732421875,41.90833018681247
6681,115.2000732421875,41.6924140495486
6721,115.2000732421875,
6731,118.59125434027777,
6732,118.59125434027777,29.036392780429434
6761,118.59125434027777,27.649564020861455
6801,118.59125434027777,38.860590875152866
6842,,36.66294115527248
6899,98.10521443684895,37.394122185209916
6921,98.10521443684895,36.04472120803751
6961,98.10521443684895,
6969,91.95784505208334,34.58076152942711
7001,91.95784505208334,33.62642944418076
7041,91.95784505208334,34.41565472421506
7081,91.95784505208334,
7088,85.43945312499999,33.55719464959413
7121,85.43945312499999,29.53550687503787
7161,85.43945312499999,30.655022282642737
7201,,31.924312167795513
7241,0.0,31.4191578981983
