relative_time,DecibelSource,PitchSensor
0,22.142834174309858,
41,20.143733214005863,0.0
79,16.241600392835018,
120,12.33333287866326,0.0
160,19.762977691348087,
200,17.35434924860452,0.0
240,46.14072472484349,
280,53.757061209020605,
288,,152.24812825520834
320,59.185176859545294,152.24812825520834
359,61.88872801858175,
360,,152.24812825520834
399,61.08104476110894,
400,,152.24812825520834
410,,182.1728515625
440,57.93961389071404,182.1728515625
480,58.10123786328813,182.1728515625
491,,203.51725260416669
540,56.61383716931219,203.51725260416669
580,57.21333718697117,203.51725260416669
589,,197.62736002604169
620,58.061063992028565,197.62736002604169
660,58.58906192957363,197.62736002604169
700,58.883603197090615,197.62736002604169
711,,173.63236103360614
740,57.21346440538592,173.63236103360614
780,55.1598743127723,173.63236103360614
787,,161.71779087611606
819,49.643755988778786,
820,,161.71779087611606
860,28.75766419140792,161.71779087611606
869,,131.5306396484375
899,37.402952223169656,
900,,131.5306396484375
939,52.029166184981804,
940,,131.5306396484375
951,,146.961181640625
980,55.02141177983897,146.961181640625
1019,55.16560621279805,
1020,,146.961181640625
1060,45.99501401221484,146.961181640625
1072,,156.4122517903646
1073,,156.4122517903646
1100,48.90678680561561,156.4122517903646
1140,41.79426910727785,156.4122517903646
1179,37.037051946167814,
1220,68.30969311908225,
1226,,178.0322265625
1260,63.61888380128547,178.0322265625
1300,55.383734030353736,178.0322265625
1343,55.71513088924219,178.0322265625
1355,,181.8603515625
1379,59.25940829295027,
1380,,181.8603515625
1420,64.20350073415759,181.8603515625
1431,,196.455078125
1460,64.38317386531077,196.455078125
1500,51.73504374476196,196.455078125
1540,50.76724691865024,
1580,57.2395791384131,
1589,,205.7649158296131
1620,53.95487130845318,205.7649158296131
1661,37.295018715231365,205.7649158296131
1700,37.327013030907125,205.7649158296131
1708,,182.9150390625
1739,53.505570281355226,
1740,,182.9150390625
1800,53.053600328383055,182.9150390625
1807,,176.71875
1839,47.27470283896491,
1840,,176.71875
1879,45.568264656285386,176.71875
1885,,140.5908203125
1919,52.74943199178165,140.5908203125
1959,55.83380016580132,
1960,,140.5908203125
2000,50.67940408060329,140.5908203125
2011,,144.566162109375
2039,50.51956304397236,144.566162109375
2080,47.84976310407612,144.566162109375
2093,,125.70799509684244
2119,46.071803906699664,125.70799509684244
2160,42.45404119185322,125.70799509684244
2199,43.67055092562387,
2240,39.72892115366051,
2246,,3908.2763671875
2280,36.97324083231624,3908.2763671875
2319,55.89478015923979,
2320,,3908.2763671875
2360,54.51117698687948,3908.2763671875
2399,50.39339353287321,
2440,42.256165270733284,
2452,,323.701171875
2480,36.41333656527933,323.701171875
2520,34.13138790178582,323.701171875
2533,,384.3194851345486
