relative_time,PitchSensor,DecibelSource
0,66.69466145833334,
1,66.69466145833334,46.82121955603216
35,66.69466145833334,50.96617588108777
75,66.69466145833334,50.56215068460121
115,66.69466145833334,
128,,51.39558444135994
155,,54.83221492223373
204,125.3884033203125,54.07032362529547
235,125.3884033203125,51.708009714620545
275,125.3884033203125,
288,94.6497090657552,
289,94.6497090657552,53.7902787726854
315,94.6497090657552,60.47530017212107
355,94.6497090657552,55.057941293208266
396,94.6497090657552,
409,,44.19876723691813
435,,56.636885891115234
484,146.5282185872396,56.85356899195767
514,146.5282185872396,
515,,43.71185016090208
555,146.5282185872396,
564,89.73068963913691,44.54141562057771
595,89.73068963913691,40.76070572971551
635,89.73068963913691,40.330378043801296
675,89.73068963913691,
685,75.3505859375,45.14665400120316
714,75.3505859375,
715,,45.940493466431164
755,75.3505859375,
761,,46.49451064400132
795,,50.09237462334089
842,449.0442330496652,48.71153669315557
874,449.0442330496652,
875,,44.16585632693241
915,449.0442330496652,50.0394533632942
956,449.0442330496652,
967,,49.41433258924818
995,,48.719559629318496
1049,115.62835138494319,44.99575507559881
1075,115.62835138494319,40.7539677491757
1115,115.62835138494319,
1124,,42.76240247009707
1155,,48.72433919229476
1203,118.3447265625,
1204,118.3447265625,50.26666645280134
1235,118.3447265625,47.77180187880796
1276,118.3447265625,41.68861701470507
1315,118.3447265625,
1322,,44.43749487374604
1355,,48.182792346339056
1409,136.66715365616733,51.61088842078258
1435,136.66715365616733,51.31627335765753
1475,136.66715365616733,
1493,138.0569732844481,44.24908754662209
1515,138.0569732844481,44.69463202209259
1555,138.0569732844481,47.21942696837921
1596,138.0569732844481,
1603,,45.47871751227344
1635,,39.22996015767366
1688,3911.4013671875,43.34426565861864
1715,3911.4013671875,46.95727284526481
1755,3911.4013671875,
1763,,47.3395571808745
1795,,48.29720064830752
1835,,48.94719662915544
1883,384.62890625,43.33008419320004
1915,384.62890625,44.53517966495806
1955,384.62890625,
1965,,41.669827776631095
1995,,32.506737341230874
2042,33.490164620535715,45.3996786630461
2075,33.490164620535715,49.686642902903685
2115,33.490164620535715,40.14923793507758
2155,33.490164620535715,
2161,,41.50788453209138
2196,,41.94645601791224
2245,432.1184430803571,
2246,432.1184430803571,42.78181849442002
2275,432.1184430803571,33.35243490023653
2315,432.1184430803571,
2322,244.295654296875,45.70843754007667
2355,244.295654296875,49.972325002968184
2395,244.295654296875,48.65333751906004
2435,244.295654296875,
2448,,47.8355203294726
2475,,46.200142492491445
2523,112.39298502604166,46.402534602601705
2555,112.39298502604166,45.87232860198942
2595,112.39298502604166,
2606,111.19965326218376,45.436010428514464
2635,111.19965326218376,45.4940111485401
2675,111.19965326218376,43.583574875270884
2715,111.19965326218376,
2726,,44.973875791794015
2756,,44.804224286180194
2800,121.81610107421875,
2801,121.81610107421875,38.37128719551241
