relative_time,PitchSensor,DecibelSource
0,0.0,35.91070414751539
40,,42.7488913739489
89,198.2478274390811,44.59116426698688
119,198.2478274390811,46.09827334186318
161,198.2478274390811,
183,213.01793416341144,47.23773115063554
200,213.01793416341144,46.67217962834379
239,213.01793416341144,47.44935525300402
279,213.01793416341144,
286,217.54313151041669,50.461260922086566
319,217.54313151041669,51.73404461291713
359,217.54313151041669,
369,235.1934814453125,49.565284747695166
401,235.1934814453125,45.97344478569216
440,235.1934814453125,
448,235.49275716145834,42.81708342045552
479,235.49275716145834,47.549191933302446
520,235.49275716145834,39.962390804170795
562,235.49275716145834,
574,199.88077799479169,38.522582198906214
599,199.88077799479169,
600,,32.24506195728843
640,199.88077799479169,
646,,31.691158803096897
680,,33.624935877441175
727,216.66015625,43.49254052587455
759,216.66015625,44.59247941659241
800,216.66015625,43.17045460869157
839,216.66015625,
853,,43.37830506023316
880,,40.4815031926013
928,464.2919921875,46.37425094711608
959,464.2919921875,41.399595573710016
999,464.2919921875,
1013,,36.08926134325784
1040,,44.126817936823414
1080,,45.09310165653637
1126,396.4892578125,40.172467931755065
1159,396.4892578125,37.68887877034295
1201,396.4892578125,
1209,,45.667734618313034
1239,,48.51114839723358
1290,175.63363211495536,47.134231213270155
1320,175.63363211495536,37.8768115383773
1360,175.63363211495536,39.69832533171959
1399,175.63363211495536,
1408,249.10970052083331,40.094021351221215
1439,249.10970052083331,38.80154510941025
1479,249.10970052083331,
1486,,46.525777657296416
1519,,40.43106512576465
1566,424.9609375,42.552077637012786
1599,424.9609375,37.65037100936682
1639,424.9609375,
1645,322.998046875,40.09948091425288
1679,322.998046875,41.55794396508136
1719,322.998046875,39.18532642371265
1759,322.998046875,
1767,370.751953125,36.81123405062489
1800,370.751953125,36.95899169694791
1839,370.751953125,
1847,,36.18888392893518
1880,,34.55733548054115
1932,183.74837239583331,48.37702801789736
1959,183.74837239583331,
1960,,50.47882729186619
1999,183.74837239583331,
2000,,50.59675454974362
2041,183.74837239583331,
2054,175.81471354166666,49.30834119397936
2079,175.81471354166666,47.70260176727288
2121,175.81471354166666,
2131,178.20333637716448,46.80566816894544
2159,178.20333637716448,
2160,,49.0270640627884
2200,178.20333637716448,
2212,181.8795385116186,50.505514760359816
2239,181.8795385116186,48.20531381912477
2280,181.8795385116186,43.02544514267127
2319,181.8795385116186,
2329,111.37174479166664,26.411946581789874
2360,111.37174479166664,23.466290284661593
2399,111.37174479166664,
2400,0.0,45.601104812416
2439,,47.0548235857605
2487,127.81749906994047,47.59933037437871
2520,127.81749906994047,45.80432383055992
2559,127.81749906994047,47.596829289141105
2599,127.81749906994047,
2605,,44.85550067358705
2639,,31.70980751937304
2684,407.255859375,47.0699128630044
2719,407.255859375,48.446579515031836
2759,407.255859375,
2768,223.09190538194446,46.84348544683264
2799,223.09190538194446,42.74103472617966
2839,223.09190538194446,44.82342287560792
2881,223.09190538194446,
2892,227.273681640625,47.339553819151696
2920,227.273681640625,50.55601008235678
2959,227.273681640625,
2969,226.1993667140151,47.81664064000918
2999,226.1993667140151,52.39939291628998
3041,226.1993667140151,
3050,228.3027808779762,53.515318924855876
3079,228.3027808779762,
3080,,53.167480884487375
3119,228.3027808779762,
3120,,52.102861532772174
3159,228.3027808779762,
3168,127.02296665736607,
3169,127.02296665736607,52.025845416660474
3199,127.02296665736607,47.598414849480505
3242,127.02296665736607,
3255,,42.355054582125234
3281,,46.71577370249453
3333,181.81176079644098,45.70595604676262
3360,181.81176079644098,37.479560546955554
3399,181.81176079644098,
3400,,32.78657313635692
3439,181.81176079644098,
3446,186.427001953125,39.51974826724572
3479,186.427001953125,44.471428810659724
3519,186.427001953125,
3526,207.6904296875,45.013274350064655
3559,207.6904296875,46.8594481264688
3599,207.6904296875,
3605,208.292236328125,44.2053669757029
3639,208.292236328125,34.95374718367636
3679,208.292236328125,46.71332328128496
3719,208.292236328125,
3726,,48.49493500397236
3760,,40.98311730971652
3811,401.9580078125,47.10493478259542
3839,401.9580078125,48.38340096143661
3879,401.9580078125,
3899,206.87611897786462,47.25966185941999
3919,206.87611897786462,45.1003011184903
3959,206.87611897786462,
3960,,38.47587451794176
3999,206.87611897786462,
4010,194.25455729166669,
4011,194.25455729166669,26.529268293568986
4039,194.25455729166669,32.11130988678097
4079,194.25455729166669,
4087,137.51800537109375,41.214456808285114
4119,137.51800537109375,46.378656437765066
4159,137.51800537109375,
4171,179.21747843424478,47.23368036939555
4200,179.21747843424478,46.18658080701537
4240,179.21747843424478,
4249,,42.258153793199156
4280,,41.319914934626865
4319,,44.33395205550511
4367,182.8369140625,45.67432957384038
4400,182.8369140625,47.2715137814317
4440,182.8369140625,
4449,,47.06247171871361
4479,,45.54740772894391
4532,87.33294592963324,
4533,87.33294592963324,44.15196611719306
4559,87.33294592963324,47.662986911958285
4600,87.33294592963324,43.71895568268991
4640,87.33294592963324,
4647,,38.459812057279265
4681,,36.39599466217055
4726,229.42301432291669,45.11357594256286
4759,229.42301432291669,42.451130126247705
4800,229.42301432291669,
4810,,45.009271491521154
4839,,36.00311048893621
4882,,39.98018708960894
4925,215.33203125,39.43065531428939
4960,215.33203125,44.823664909216916
4999,215.33203125,
5007,,45.140919481079045
5039,,35.03356878943214
5086,367.001953125,36.754414278423006
5119,367.001953125,
5120,,44.8841631758631
5159,367.001953125,43.10708192361098
5199,367.001953125,
5207,184.22146267361111,40.91430023925203
5239,184.22146267361111,
5240,,36.305051295677046
5279,184.22146267361111,
5290,,36.80514497409144
5319,,34.514608614757606
5367,207.781982421875,
5368,207.781982421875,43.50432342461105
5400,207.781982421875,38.332064341523235
5439,207.781982421875,
5440,,27.023157262490475
5480,207.781982421875,
5486,,23.03694293232735
5519,,23.696186368019628
5559,0.0,
5560,,42.49262613961903
5599,,49.20728062614171
5648,239.76915147569446,
5649,239.76915147569446,47.99392158229008
5679,239.76915147569446,44.793146955200534
5719,239.76915147569446,
5720,,45.68368827552292
5759,239.76915147569446,
5764,251.199951171875,34.55038579482328
5800,251.199951171875,28.388141219798868
5839,251.199951171875,
5840,0.0,24.453738272820388
5879,,45.31027813395276
5925,256.34765625,
5926,256.34765625,49.21872028369436
5959,256.34765625,
5960,,45.03292304078438
5999,256.34765625,39.163567115660044
6040,256.34765625,
6054,239.46329752604169,32.40763840892772
6079,239.46329752604169,40.807767975135356
6121,239.46329752604169,
6132,189.1272713797433,45.87894907093273
6159,189.1272713797433,40.33270104889099
6199,189.1272713797433,
6208,117.23687065972223,42.820292390158684
6239,117.23687065972223,43.15154757614215
