relative_time,PitchSensor,DecibelSource
0,0.0,27.49887863404464
41,,26.28449751348906
80,0.0,25.44754747205601
120,,39.53258022169542
160,,50.70744330320737
207,261.1778913225446,56.542725329253834
240,261.1778913225446,
241,,55.25652854251029
281,261.1778913225446,
291,252.67728794642858,
293,252.67728794642858,
294,,44.58321289159364
320,252.67728794642858,53.72721586011639
360,252.67728794642858,
365,249.0380859375,49.060779752422135
400,249.0380859375,45.7689329415951
440,249.0380859375,51.05359616382425
480,249.0380859375,
488,276.4624735514323,52.238556393770395
520,276.4624735514323,47.41458523813941
564,276.4624735514323,
572,397.5048828125,30.712865495737223
600,397.5048828125,48.34474694616945
641,397.5048828125,
650,373.4930419921875,52.741366926857594
680,373.4930419921875,41.7614587890263
720,373.4930419921875,39.39307668307049
760,373.4930419921875,
769,317.2314453125,
770,317.2314453125,27.40864197506069
800,317.2314453125,40.130178443901194
841,317.2314453125,
852,292.7294921875,
853,292.7294921875,43.369067797571375
880,292.7294921875,47.711399727893415
920,292.7294921875,
928,292.9248046875,45.45367658885486
960,292.9248046875,44.82538810669119
1000,292.9248046875,44.84358810018318
1041,292.9248046875,
1049,,45.37819608878923
1080,,52.05419128400301
1127,247.5103081597222,
1128,,47.86368124448656
1160,247.5103081597222,41.00626047628123
1201,247.5103081597222,
1209,248.59771728515625,
1210,248.59771728515625,40.84482712355407
1240,248.59771728515625,45.399403562637445
1280,248.59771728515625,45.937151890258754
1320,248.59771728515625,
1328,241.85584852430554,43.15762573056587
1360,241.85584852430554,40.371244946449934
1400,241.85584852430554,
1409,,40.35521173784714
1441,,37.79291539532642
1490,255.67295619419644,52.55260643635749
1520,255.67295619419644,55.14816008292953
1560,255.67295619419644,54.84793622787775
1600,255.67295619419644,
1608,220.47688802083334,48.813608224014644
1640,220.47688802083334,39.63155412549629
1680,220.47688802083334,
1689,319.26715087890625,39.06049987042548
1720,319.26715087890625,40.82108671924222
1760,319.26715087890625,
1769,292.8857421875,47.02954052453366
1800,292.8857421875,42.604940622973146
1840,292.8857421875,40.09347080051124
1880,292.8857421875,
1891,264.3212890625,41.5517892395762
1920,264.3212890625,47.23639472347649
1961,264.3212890625,
1966,252.079833984375,44.66536461929711
2000,252.079833984375,42.7832814270031
2040,252.079833984375,
2048,244.789306640625,36.21867090960379
2080,244.789306640625,39.59483783463774
2120,244.789306640625,37.96001524016308
2161,244.789306640625,
2168,,32.64232037229693
2200,,43.571428664899614
2245,467.9638671875,
2246,467.9638671875,48.69540579248063
2281,467.9638671875,45.42973544174184
2320,467.9638671875,
2329,,49.146837942640005
2360,,48.18320636098517
2408,199.47633579799108,46.38398187851628
2440,199.47633579799108,47.74004881010693
2481,199.47633579799108,48.24141078035402
2520,199.47633579799108,
2527,200.78520275297618,48.52640231809569
2560,200.78520275297618,47.512989041922424
2600,200.78520275297618,
2609,202.2789074125744,45.118252845073876
2640,202.2789074125744,40.07399162984711
2681,202.2789074125744,
2691,,23.899221100570337
2720,,26.084993511265615
2760,,26.480866167421965
2800,0.0,22.719850890178638
2840,,22.69087844955935
2890,203.28173828125,49.90209256402024
2921,203.28173828125,49.58158603899417
2960,203.28173828125,
2968,,49.34529857617054
3000,,45.67055515372103
3040,,46.378668453638554
3088,239.810791015625,34.75532174980825
3120,239.810791015625,31.66346193436461
3160,239.810791015625,
3165,312.2314453125,51.16870549314589
3200,312.2314453125,53.44894956541733
3241,312.2314453125,
3249,307.279052734375,52.56170582706977
3280,307.279052734375,45.80013724927083
3320,307.279052734375,49.945043804555176
3360,307.279052734375,
3367,330.77480061848956,50.796091049774866
3400,330.77480061848956,51.064027557492025
3443,330.77480061848956,
3450,,53.55743352660952
3480,,52.60799984517994
