relative_time,DecibelSource,PitchSensor
0,33.6285930295868,75.283203125
68,34.012281674981125,61.6748046875
133,36.13841821876069,61.6748046875
200,43.0395163394345,78.0386962890625
268,48.816071685469865,112.2787814670139
333,42.68741737412476,
400,44.01055725771844,
468,41.146776910108784,117.880859375
533,49.70053837856359,
600,45.90217463884716,153.12720889136904
668,32.15108581053093,153.12720889136904
733,44.01072973025948,
800,45.61792840600149,168.899988245081
869,34.48242412634439,168.899988245081
933,35.18777068926775,153.68505084325398
1000,36.78700434998304,107.345703125
1068,36.77333151419902,107.345703125
1133,44.84612988014998,87.40486653645834
1200,47.26164624925386,
1269,42.66983884766044,270.4150390625
1333,36.32457292184724,270.4150390625
1400,44.72302908574988,330.0898670014881
1468,32.92477593667784,
1533,41.242106834362176,231.474609375
1601,33.21184027302314,231.474609375
1669,48.969283598911616,216.11328125
1733,50.09985997562211,133.75941685267858
1800,37.86183345567633,133.75941685267858
1868,34.77555332198981,
1987,41.54667377622576,269.1650390625
2001,41.54667377622576,269.1650390625
2068,38.60936620700094,269.1650390625
2133,30.429690733931803,270.2587890625
2200,38.274985081334584,
2268,34.87703863163726,
2333,41.821292140529984,442.2900390625
2400,35.3668467262093,
2468,36.81060243631812,221.9580078125
2533,37.08080810468231,221.9580078125
2600,43.18105092040041,
2668,44.681109153372375,136.7197265625
2733,44.704398938046815,136.7197265625
2800,43.14562378177839,100.24301656087239
2868,40.074490444977485,100.60009765625
2933,37.71440486639912,100.39449055989584
3000,37.15501945293284,100.39449055989584
3068,38.08210972924222,
3133,36.69967369908504,207.6904296875
3200,37.603470785299066,118.45240885416668
3268,36.52536418593025,118.45240885416668
3333,36.03144372620182,170.26318359375
3400,47.56461138274332,
3469,47.19124035974352,
3533,43.252487652875374,112.428955078125
3600,30.913151596972227,119.89095052083334
3668,47.070418890764486,
3733,49.959640810062275,
3800,45.077749397177286,159.85697428385416
3868,51.05588521022867,157.97932942708331
3933,49.17699769556032,157.97932942708331
4000,47.65899421839911,129.38671875
4068,50.54601565132902,
4133,38.84908594162607,358.9619663783482
4200,39.252605095194355,358.9619663783482
4269,44.49663494153331,
4333,39.11956189072687,67.88221086774553
4400,47.92244564836703,67.88221086774553
4469,50.69123963257296,
4533,43.82305275193315,355.0969587053571
4600,46.43195972076743,461.0888671875
4669,49.06507432194137,461.0888671875
4739,42.564772062416765,
4800,50.95688798714449,111.540625
4868,45.37894617981369,111.540625
4933,42.53846646198501,
5000,41.90779770928019,98.42875162760417
5069,44.54677205220384,98.42875162760417
5133,36.24694531272081,104.85848214285713
5200,33.57934847000454,
5268,36.06166314607621,270.2978515625
5333,50.12347840729423,270.2978515625
5400,38.42546836495015,149.736328125
5468,35.40329474790874,147.938232421875
5533,49.947789224971956,
5600,36.43057683751453,
5668,44.81829451263999,115.3017849392361
5733,36.69502834104343,113.80836123511905
5800,40.775132514976626,150.7568359375
5869,46.14928838266458,150.7568359375
5933,34.404367661057734,118.3193359375
6000,36.98187569866122,147.4583740234375
6069,47.632182835341446,147.4583740234375
6133,45.03586421323274,
6200,38.22952240547481,140.3125
6269,34.996870826184036,129.19921875
6333,44.840149626675625,129.19921875
6400,45.5713410182759,74.52115885416666
6468,43.71326513861746,107.73192342122395
6533,42.698630405544115,107.73192342122395
6600,36.946051989335686,101.853759765625
6668,37.92951708250132,94.0744381859189
6733,36.341748717626004,100.714111328125
6800,37.9155030502733,100.714111328125
6868,35.690225860295634,
6934,31.54423973114647,235.380859375
